iter	RMSE
128	1.049072197
129	1.036409075
130	1.030944271
131	1.019247055
132	1.00626467
133	0.9939893664
134	0.9847490053
135	0.9775837372
136	0.9672380016
137	0.9574096901
138	0.9464452486
139	0.9392477234
140	0.9281655931
141	0.919374665
142	0.9136941562
143	0.9089004947
144	0.9007257712
145	0.8900352561
146	0.8795824839
147	0.8694163832
148	0.8618962101
149	0.8521293765
150	0.8437230929
151	0.8351651826
152	0.830615022
153	0.8217745099
154	0.8121182449
155	0.8059271502
156	0.7967910381
157	0.7883641843
158	0.7832772976
159	0.7751979206
160	0.7699157376
161	0.7663176706
162	0.7594577579
163	0.7522504962
164	0.7443467896
165	0.7370790231
166	0.7326294413
167	0.7283737482
168	0.7231448668
169	0.7192197039
170	0.7120309077
171	0.7066623722
172	0.6996159373
173	0.6930466842
174	0.6895369715
175	0.6862002879
176	0.6800120359
177	0.6767029217
178	0.670690184
179	0.664258562
180	0.6608144518
181	0.656224391
182	0.651513706
183	0.6455511282
184	0.6397888753
185	0.6356513904
186	0.6304692108
187	0.6283949104
188	0.6239041599
189	0.6200056758
190	0.6165199845
191	0.6128748177
192	0.6078064771
193	0.6046740227
194	0.600513061
195	0.5949967298
196	0.5908676518
197	0.5864589323
198	0.5825060077
199	0.5782212927
200	0.5733915492
201	0.5698134955
202	0.5651388844
203	0.5617508917
204	0.5577449493
205	0.5553237962
206	0.5519377271
207	0.5488334936
208	0.5461553583
209	0.5420382713
210	0.539263463
211	0.5350280434
212	0.5321746542
213	0.5294619031
214	0.5264580907
215	0.5224822856
216	0.5203431428
217	0.5184172776
218	0.5157245865
219	0.5122614643
220	0.5102677695
221	0.5077897634
222	0.5052912368
223	0.5034416552
224	0.5016818389
225	0.4975943237
226	0.4959351712
227	0.4924355668
228	0.4913805023
229	0.4903455869
230	0.4871939863
231	0.4841716516
232	0.4825077765
233	0.4795778104
234	0.4775993497
235	0.4754844054
236	0.4739549306
237	0.471209227
238	0.4695041976
239	0.4670491076
240	0.4648500044
241	0.4620042539
242	0.4607165066
243	0.4588932247
244	0.4576778434
245	0.4566589242
246	0.4546775415
247	0.4519886015
248	0.4502733604
249	0.449155417
250	0.4481915
251	0.4452075838
252	0.4442752372
253	0.443198572
254	0.4422930192
255	0.440491094
256	0.4396151494
257	0.4386246711
258	0.4357404266
259	0.4347875489
260	0.4326720913
261	0.4304351522
262	0.4296003377
263	0.4287863124
264	0.4262381741
265	0.4238191217
266	0.4209615792
267	0.4180066196
268	0.4155365889
269	0.4147487249
270	0.4126763662
271	0.410582869
272	0.4086160637
273	0.4064001248
274	0.4046114261
275	0.4034898083
276	0.4008702372
277	0.3987754871
278	0.3967488668
279	0.3959994628
280	0.3940619141
281	0.3924684895
282	0.3908932525
283	0.3893047598
284	0.3874656442
285	0.385979984
286	0.3852737285
287	0.3838427189
288	0.3831833398
289	0.3808115625
290	0.3801373003
291	0.3788760562
292	0.3775638149
293	0.3769421811
294	0.3748832417
295	0.3742510734
296	0.3727737885
297	0.3699250214
298	0.367893725
299	0.3660090103
300	0.3651954405
301	0.3643561373
302	0.3622126267
303	0.3610562019
304	0.3600938675
305	0.3588015176
306	0.3573982627
307	0.3549233377
308	0.353409082
309	0.3522929527
310	0.351042646
311	0.3493612661
312	0.3473632276
313	0.3454489774
314	0.3448333191
315	0.3442814889
316	0.3436947452
317	0.3422222975
318	0.3402369924
319	0.3397132866
320	0.3392036341
321	0.3386561423
322	0.3370343352
323	0.3357667584
324	0.3337188675
325	0.3328403674
326	0.3319880239
327	0.3312119923
328	0.3301867656
329	0.3291753191
330	0.3285615886
331	0.3280572343
332	0.3267178415
333	0.3261471049
334	0.325369918
335	0.3239926907
336	0.3224406418
337	0.3203809419
338	0.3187765896
339	0.3170840187
340	0.3164899688
341	0.3152653424
342	0.3139281188
343	0.313445628
344	0.3115453294
345	0.3100742578
346	0.3084059552
347	0.3073728066
348	0.3054787782
349	0.3044552101
350	0.3037824139
351	0.3028942293
352	0.3015686888
353	0.2999969784
354	0.2987519575
355	0.2982058206
356	0.2970255555
357	0.2960215664
358	0.2942997466
359	0.2936567038
360	0.2928094664
361	0.2917732684
362	0.2905387144
363	0.2891806951
364	0.288388872
365	0.2875705878
366	0.2862224838
367	0.2852138995
368	0.2839018789
369	0.283367017
370	0.2821229226
371	0.2811575069
372	0.2807719642
373	0.2804756861
374	0.2797609726
375	0.2789552958
376	0.2783210852
377	0.2768563083
378	0.2755461264
379	0.2749666091
380	0.2743632465
381	0.2728258586
382	0.2724487476
383	0.2714650087
384	0.2705677583
385	0.2700690914
386	0.268499316
387	0.2681381615
388	0.2670987091
389	0.2661609882
390	0.2655410445
391	0.2645523822
392	0.2640791871
393	0.2638221422
394	0.2633696149
395	0.2629182498
396	0.2621374502
397	0.2609886
398	0.2598440966
399	0.2586762649
400	0.2579888249
401	0.2578021909
402	0.2569169838
403	0.2560008215
404	0.2555996308
405	0.2546647027
406	0.2544310385
407	0.253559239
408	0.2531589222
409	0.2524074592
410	0.2521457303
411	0.2513320711
412	0.2503176351
413	0.2496369868
414	0.248625924
415	0.2481247616
416	0.2474697437
417	0.2464901497
418	0.2459035298
419	0.2449736264
420	0.244590639
421	0.2437634324
422	0.2430629847
423	0.2425757964
424	0.2416736448
425	0.2412541373
426	0.2403299687
427	0.240082865
428	0.2394693075
429	0.2382985478
430	0.23743904
431	0.2370881123
432	0.2362668289
433	0.2354580809
434	0.2344295134
435	0.2333704692
436	0.2327156702
437	0.2314122969
438	0.2310043611
439	0.2303897632
440	0.2300447753
441	0.2296412227
442	0.2293031445
443	0.229160678
444	0.228309469
445	0.2279357621
446	0.2272885449
447	0.2264121846
448	0.2259615245
449	0.2252131791
450	0.224361175
451	0.2240100565
452	0.2237158379
453	0.2235465079
454	0.2230766889
455	0.2220696338
456	0.2213079391
457	0.2209807193
458	0.2206764475
459	0.2205233758
460	0.2196948312
461	0.2188122242
462	0.2184433375
463	0.2178851494
464	0.2173589772
465	0.2162658702
466	0.2159044632
467	0.2150509918
468	0.2146777461
469	0.2143025526
470	0.2134475621
471	0.2133064775
472	0.2130353885
473	0.2126751343
474	0.212411904
475	0.211515154
476	0.2106205957
477	0.2101722431
478	0.2099382791
479	0.2092431061
480	0.2085402211
481	0.2078968361
482	0.2073821593
483	0.206803235
484	0.2060914691
485	0.2053276167
486	0.204582188
487	0.2037636976
488	0.2033631977
489	0.2025844947
490	0.2023740802
491	0.2022060134
492	0.2017104315
493	0.2014369174
494	0.2011894106
495	0.2007150964
496	0.2001348077
497	0.1996235805
498	0.1992973971
499	0.1986430094
