model,MAE_sec,RMSE_sec,R2,winner_hit_rate,mean_top3_overlap,mean_spearman,mean_brier,mean_prob_on_actual_winner,train_time_sec,weighted_score
RandomForest,1.825460572844274,4.649155560647789,0.791905165295855,1.0,0.5555555555555555,0.6677527151211361,5.70375004234474e-18,0.999999993942618,0.40451330004725605,0.9446254525201894
XGBoost,2.072523443862738,4.854823503363736,0.7730866559376578,1.0,0.5555555555555555,0.6685881370091895,1.55184189054484e-17,0.9999999904465393,0.2442356999963522,0.8871381913662615
ExtraTrees,3.1335203264045495,7.697981523039894,0.42948525504586854,1.0,0.5555555555555555,0.6657477025898079,1.436814827448543e-17,0.9999999903649929,0.2474293999839574,0.6391911994842716
HistGradientBoosting,3.254565119909462,5.76960872827398,0.6795163570450129,1.0,0.4444444444444444,0.6548036758563074,1.3171281923636587e-16,0.9999999684237969,0.4094829000532627,0.6091339441008219
CatBoost,2.146152183254352,4.70393660627277,0.7869723065888777,1.0,0.5555555555555555,0.6524644945697577,1.8921038148893182e-08,0.9996571848830532,1.0773516000481322,0.5506766832181964
